id,address,lat,lng
358,"5969, rue des �rables Montreal",45.501689,-73.567256
359,"6823, 30�me avenue Montreal",45.501689,-73.567256
360,"6529, avenue de Gasp� Montreal",45.501689,-73.567256
361,"6751, avenue Henri Julien Montreal",45.534847,-73.610308
362,"5340, rue B�langer Montreal",45.577246,-73.576433
363,"6191, rue Rodolphe Mathieu Montreal",45.583147,-73.562661
364,"5871, rue de Bordeaux Montreal",45.542310,-73.589200
365,"6275, 3e avenue Montreal",45.550604,-73.586803
366,"6330, 5e avenue Montreal",45.551555,-73.586757
367,"4985, 5e Avenue Montreal",45.546389,-73.570895
368,"4972, 6e Avenue Montreal",45.546706,-73.570694
369,"6212, rue Alma Montreal",45.531082,-73.603767
370,"5723, 14e avenue Montreal",45.554939,-73.577209
371,"5260, avenue d'Orl�ans Montreal",45.556641,-73.567981
372,"5870, avenue des Plaines Montreal",45.569991,-73.565441
373,"6848, rue de Normanville Montreal",45.541786,-73.605970
374,"4629 Rue De Chambly Condo 6 Montreal",45.501689,-73.567256
375,"26 avenue Phillips Montreal",45.442363,-73.953741
376,"1395, rue Guertin Montreal",45.520663,-73.683645
377,"784, rue Cardinal Montreal",45.509799,-73.679911
378,"125 rue H�bert Montreal",45.511081,-73.663780
379,"1705 Rue Filion Montreal",45.524151,-73.687609
380,"2060 Rue Johnson Montreal",45.502576,-73.682192
381,"1605 rue Rochon Montreal",45.514484,-73.687156
382,"665 Tait Montreal",45.505415,-73.682221
383,"1500, avenue O'Brien Montreal",45.519811,-73.687324
384,"1760, rue Guertin Montreal",45.523480,-73.688407
385,"1830, avenue O'brien Montreal",45.523010,-73.692401
386,"2060, rue Johnson Montreal",45.502576,-73.682192
387,"1625, place Decelles Montreal",45.500897,-73.626589
388,"2359, rue Robert-Peary Montreal",45.511206,-73.704735
389,"1390, rue Filion Montreal",45.520992,-73.683204
390,"9003 De Belmont Street Montreal",45.600179,-73.600697
391,"220, rue Vall�e Montreal",45.437637,-73.924344
